ZIP Code,edu_white_hs,edu_white_bachelors,edu_white_non_hispanic_hs,edu_white_non_hispanic_bachelors,edu_black_hs,edu_black_bachelors,edu_ai_an_hs,edu_ai_an_bachelors,edu_asian_hs,edu_asian_bachelors,edu_npi_hs,edu_npi_bachelors,edu_other_hs,edu_other_bachelors
71483,88.4,19.0,88.3,18.8,78.7,7.1,60.0,0.0,96.3,0.0,-,-,53.2,4.7
71485,96.6,44.7,96.5,42.8,85.7,47.6,100.0,0.0,-,-,-,-,100.0,0.0
71486,85.9,13.2,86.7,13.3,77.2,10.4,81.8,9.0,84.2,36.8,-,-,46.8,0.0
71497,100.0,0.0,100.0,0.0,100.0,0.0,-,-,100.0,51.9,-,-,-,-
71601,90.9,8.2,90.4,8.6,84.5,16.7,100.0,0.0,47.9,21.9,-,-,100.0,0.0
71602,87.9,18.9,88.0,19.3,88.7,20.7,100.0,63.6,90.4,25.2,100.0,38.7,35.0,0.0
71603,92.2,18.0,92.3,18.1,90.9,28.7,96.2,0.0,100.0,50.6,100.0,100.0,56.8,7.0
71630,82.2,8.9,82.2,8.9,84.4,14.0,-,-,-,-,-,-,-,-
71631,84.2,3.0,85.2,3.1,100.0,0.0,-,-,-,-,-,-,-,-
71635,88.2,15.5,88.5,15.8,83.5,10.7,100.0,0.0,100.0,26.3,-,-,-,-
71638,67.9,15.5,67.9,15.5,78.8,7.4,100.0,0.0,100.0,38.5,-,-,87.5,0.0
71639,72.9,15.6,74.9,18.3,83.2,6.0,100.0,0.0,-,-,-,-,55.7,0.0
