hi_white_with_coverage,hi_white_no_coverage,hi_black_with_coverage,hi_black_no_coverage,hi_asian_with_coverage,hi_asian_no_coverage,hi_ai_an_with_coverage,hi_ai_an_no_coverage,hi_npi_with_coverage,hi_npi_no_coverage,hi_other_with_coverage,hi_other_no_coverage,ZIP Code
1893,15,42,0,21,0,0,0,0,0,34,0,50012
3876,102,63,0,44,10,8,17,0,0,77,8,50013
23854,714,837,182,2767,662,126,6,12,0,395,46,50014
1196,28,0,0,0,0,0,0,0,0,0,0,50020
24160,650,405,2,903,0,0,0,0,0,151,15,50021
7912,364,80,0,44,0,30,0,0,0,17,0,50022
39510,1145,294,184,1247,73,43,11,0,0,215,23,50023
2570,132,6,9,2,0,0,0,0,0,48,3,50025
341,33,0,0,0,0,0,0,0,0,26,4,50026
194,80,0,0,0,0,0,0,0,0,0,0,50027
1695,40,0,0,2,0,0,0,0,0,13,0,50028
509,9,15,0,0,0,0,0,0,0,7,0,50029
57,0,0,0,0,0,0,0,0,0,0,0,50031
702,0,0,0,0,0,0,0,0,0,0,0,50032
12,0,0,0,0,0,0,0,0,0,0,0,50033
419,1,0,0,0,0,0,0,0,0,0,0,50034
8677,71,490,2,78,0,4,0,0,0,16,1,50035
14437,767,125,20,38,0,0,0,0,0,188,27,50036
224,23,0,0,0,0,0,0,0,0,0,0,50038
499,32,4,0,0,0,0,0,0,0,0,0,50039
127,7,0,0,0,0,0,0,0,0,0,0,50040
98,0,0,0,0,0,0,0,0,0,0,0,50041
185,5,0,0,0,0,0,0,0,0,0,0,50042
877,7,0,0,0,0,3,0,0,0,0,0,50044
1542,40,4,0,2,0,0,0,0,0,9,0,50046
6039,210,0,0,0,0,10,0,0,0,34,7,50047
639,57,0,0,0,0,0,0,3,2,18,8,50048
5562,600,16,0,20,12,0,0,0,0,38,0,50049
610,84,3,0,9,3,8,0,0,0,8,0,50050
239,11,0,0,11,0,0,0,0,0,0,0,50051
76,5,0,0,0,0,0,0,0,0,0,0,50052
2850,62,24,16,16,0,0,0,0,0,31,0,50054
1162,34,13,2,2,0,0,0,0,0,0,0,50055
1105,57,0,0,5,4,0,0,0,0,7,0,50056
244,0,0,0,0,0,0,0,0,0,0,0,50057
1679,71,0,0,0,0,13,4,0,0,3,0,50058
2101,118,16,0,4,0,0,0,0,0,37,0,50060
2107,14,14,0,63,0,0,0,0,0,0,0,50061
794,43,0,0,0,0,0,0,0,0,0,0,50062
2297,108,37,0,5,0,0,0,0,0,6,18,50063
120,7,0,0,0,0,0,0,0,0,2,0,50064
512,63,0,0,0,5,0,0,0,0,1,14,50065
189,16,0,0,0,0,0,0,0,0,1,1,50066
204,48,0,0,0,0,0,0,0,0,2,0,50067
240,37,0,0,0,0,2,0,0,0,0,0,50068
922,30,0,0,37,2,8,0,0,0,0,0,50069
1090,34,6,0,33,0,1,0,0,0,16,1,50070
804,59,0,0,0,0,0,0,0,0,12,3,50071
2671,30,37,0,10,0,0,0,0,0,13,0,50072
889,29,9,0,4,0,1,0,0,0,2,0,50073
175,7,0,0,0,0,0,0,0,0,0,0,50074
697,19,0,0,0,0,0,0,0,0,12,0,50075
1333,29,0,0,0,0,0,4,0,0,12,0,50076
86,10,0,0,0,0,0,0,0,0,0,0,50078
68,0,0,0,0,0,0,0,0,0,0,0,50101
123,0,0,0,0,0,0,0,0,0,0,0,50102
367,24,0,0,0,0,0,0,0,0,0,0,50103
92,0,0,0,0,0,0,0,0,0,1,0,50104
1076,18,4,0,30,0,28,2,0,0,16,0,50105
1038,104,0,0,4,0,0,0,0,0,0,0,50106
719,19,0,0,0,0,0,0,0,0,3,0,50107
